Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Airport,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR10627,1. Seizure,Thailand,10/11/2017 0:00,8 rhino horns (6.3 kg) seized at Bangkok Suvarnabhumi Airport - 2 Chinese arrested,Bangkok Suvarnbhumi Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,8,6.300000191,Kilograms,300000,USD US Dollar,300000
MOR8268,Thailand,Thailand,3/5/2017 0:00,422 ivory pieces (330 kg) seized at Bangkok Suvarnabhumi Airport - 1 Gambian national arrested,Bangkok Suvarnbhumi Airport,Elephantidae,Elephants,Ivory Pieces - Raw,422,330,Kilograms,17000000,THB Baht,484290
MOR8269,Thailand,Thailand,3/10/2017 0:00,21 pieces of rhino horns (49.4 kg) seized at Bangkok Suvarnabhumi Airport - suspects fled,Bangkok Suvarnbhumi Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,21,49.4,Kilograms,148200000,THB Baht,
MOR44791,Thailand,Thailand,6/27/2022 0:00,109 live animals seized at Bangkok Suvarnbhumi Airport - 2 arrested,Bangkok Suvarnbhumi Airport,Hystrix brachyura,"Malayan Porcupine, Himalayan Crestless Porcupine",Individual - Live,2,,,,,
MOR44791,Thailand,Thailand,6/27/2022 0:00,109 live animals seized at Bangkok Suvarnbhumi Airport - 2 arrested,Bangkok Suvarnbhumi Airport,Iguana iguana,"Common Iguana, Green Iguana, Gallina de palo, Iguana verde, Iguane commun, Iguane vert",Individual - Dead,6,,,,,
MOR44791,Thailand,Thailand,6/27/2022 0:00,109 live animals seized at Bangkok Suvarnbhumi Airport - 2 arrested,Bangkok Suvarnbhumi Airport,Iguana iguana,"Common Iguana, Green Iguana, Gallina de palo, Iguana verde, Iguane commun, Iguane vert",Individual - Live,50,,,,,
MOR44791,Thailand,Thailand,6/27/2022 0:00,109 live animals seized at Bangkok Suvarnbhumi Airport - 2 arrested,Bangkok Suvarnbhumi Airport,Podocnemis unifilis,"Yellow-headed Sideneck, Yellow-spotted River Turtle, Yellow-spotted Sideneck Turtle, Terecay, Podocnémide de Cayenne",Individual - Live,35,,,,,
MOR44791,Thailand,Thailand,6/27/2022 0:00,109 live animals seized at Bangkok Suvarnbhumi Airport - 2 arrested,Bangkok Suvarnbhumi Airport,Gerrhosaurus major,"Rough-scaled Plated Lizard, Sudan Plated Lizard",Individual - Live,6,,,,,
MOR44958,Thailand,Thailand,7/4/2022 0:00,116 tortoises seized at Bangkok Suvarnabhumi Airport - 1 Ukrainian arrested,Bangkok Suvarnbhumi Airport,Malacochersus tornieri,"Crevice Tortoise, Pancake Tortoise, Softshell Tortoise, Tornier's Tortoise, Tortuga de cuña, Tortue à carapace souple, Tortue de Tornier",Individual - Live,98,,,900000,THB Baht,25228.7
MOR44958,Thailand,Thailand,7/4/2022 0:00,116 tortoises seized at Bangkok Suvarnabhumi Airport - 1 Ukrainian arrested,Bangkok Suvarnbhumi Airport,Astrochelys radiata,"Radiated Tortoise, Tortuga estrellada de Madagascar, Tortuga rayada, Tortue radiée de Madagascar, Tortue rayonnée",Individual - Live,14,,,900000,THB Baht,25228.7
MOR44958,Thailand,Thailand,7/4/2022 0:00,116 tortoises seized at Bangkok Suvarnabhumi Airport - 1 Ukrainian arrested,Bangkok Suvarnbhumi Airport,Aldabrachelys gigantea,"Aldabra Giant Tortoise, Tortuga gigante de Aldabra, Tortue géante, Tortue géante d'Aldabra",Individual - Live,4,,,900000,THB Baht,25228.7
